ID,User ID,Date,Waterway Name,Description,Latitude,Longitude,Region,Postcode,District,Country
68XCDUmaPbJ7gIyjpsLW,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:24:03,lake ponty,a man have jeter ses cours on the floor,45.54213694878607,2.3160508940767555,,,,
DEbMJSkSbQwI2F1cLg9P,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:25:20,lake ponty,a man is a malade he have jeter son mouchoir on the floor,45.54212694150262,2.3161668505860646,,,,
Ip1Fw1Yuabnje91sRhkx,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:26:29,pool ussel,a man a mis une poubelle in a public space,45.54234015364615,2.315721879558482,,,,
9aaTBP0IsAedrrnHwIV5,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:27:41,lake ponty,"un monsieur a jeté ses deux chewing gum mais mme chansseaume nous a dit. que ça tuait les ouseaux 
c’est pas bien mieusieur il faut arreter",45.54190839033434,2.316263199246834,,,,
wHUkXgWfmrgfhRRR9nj3,1YL7uspoiMYAopmBoCwQChUfaZw2,2024-09-26 10:27:41,lake ponty,"un monsieur a jeté ses deux chewing gum mais mme chansseaume nous a dit. que ça tuait les ouseaux 
c’est pas bien mieusieur il faut arreter",45.54190839033434,2.316263199246834,,,,
NnpJY2hOmnN8VrN72MEt,HoJa7eQATqOb5RohD4nLHbpXE2X2,2024-10-04 20:31:20,canal,rubbish in the canal,53.479539,-2.225218,North West,M1 2NR,Manchester,England
EJVgPuLV3s0Lo7SUlFwm,U0ABNO0j4GQrng02OuBns8H0Ua43,2024-10-19 00:20:02,Windermere,"NT have advised ongoing pollution is actually due to car park slate……. Unsure why this then drains from there main drains above the car park. Every time it rains the beck is grey and sends huge bloom in to lake which is enormous. Beck is greasy, grey, bubbly and stinky. Unlike car park . ….",54.4037488,-2.9629947,North West,LA22 0JA,Westmorland and Furness,England
OFv6bFBB60KHaDMNwK7w,OVfIwhI6ucMv65SJ0NppwaswysG2,2024-10-23 15:45:00,River Frome,"Foam on The Frome, occurs after every heavy rainfall.",51.2778816,-2.297893,South West,BA11 6SQ,Somerset,England
kkiKyuIOtqLuxWIIetyN,P46qA2QHd3dBisf8QwVFyLHMSFn2,2024-11-13 12:30:00,River Soar,The usual litter and household waste that is still being dumped in Leicester City centre into the River Soar and surrounding waterways.,52.6786426,-1.1023677,East Midlands,LE4 8PQ,Charnwood,England
DVVePdEIrrDk5RDVQdJX,P46qA2QHd3dBisf8QwVFyLHMSFn2,2024-11-28 15:00:00,River Soar,Large amounts of browny coloured foam a regular occurrence,52.6753163,-1.1182894,East Midlands,LE4 4DQ,Charnwood,England
5EfaYuTHxo25dw8zXmjT,GmdDtU88sANyEn19ooC7rFn7Bbi1,2025-01-01 09:30:00,Stream & Tatton Mere,"WA16 6QN 9.30am 1st January 2025 reported white foam pollution dogwood & Tatton Mere SSSi site Knutsford Cheshire probsnly from farmland above Tatton park, heavy rain & possible new housing estate above Tatton park on Parkgate",53.317451,-2.3683978,North West,WA16 8HB,Cheshire East,England
